network_type,target_name,mean_rtt,median_rtt,min_rtt,max_rtt,p95_rtt,jitter,loss_rate,hour,is_peak_hour,label
Mobile_10AM,Cloudflare_VN,443.32,276.95,76.54,1739.85,1268.12,360.85,6.67,10,0,POOR
Mobile_10AM,Cloudflare_VN,130.4,81.13,52.04,415.14,344.39,66.41,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,114.93,92.37,62.87,479.78,251.09,54.4,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,139.73,80.31,58.9,657.6,448.13,97.69,3.33,10,0,POOR
Mobile_10AM,Cloudflare_VN,248.83,176.0,66.97,1021.05,817.51,182.22,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,351.98,292.8,65.45,1048.99,917.19,242.03,6.67,10,0,POOR
Mobile_10AM,Cloudflare_VN,306.29,256.72,51.82,799.97,717.48,157.19,3.33,10,0,POOR
Mobile_10AM,Cloudflare_VN,312.67,277.34,82.62,1093.03,641.33,171.21,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,269.6,184.91,72.9,923.68,641.24,174.15,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,243.76,201.48,76.02,535.83,505.39,123.47,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,230.36,201.5,67.42,724.26,493.19,131.58,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,247.27,223.29,85.0,623.0,465.82,161.62,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,337.08,251.1,70.93,1027.1,878.58,247.77,0.0,10,0,POOR
Mobile_10AM,Cloudflare_VN,405.01,347.15,75.48,1097.62,961.8,282.64,3.33,10,0,POOR
Mobile_10AM,Cloudflare_VN,332.93,269.18,74.2,949.39,629.6,179.87,3.33,10,0,POOR
Mobile_10AM,Cloudflare_VN,297.43,288.09,93.93,1095.05,623.42,204.51,3.33,10,0,POOR
Mobile_10AM,Cloudflare_VN,266.83,204.25,67.39,891.72,748.38,165.83,0.0,10,0,POOR
Mobile_10AM,Google_VN,468.55,387.13,60.34,1705.35,1158.69,421.01,3.33,10,0,POOR
Mobile_10AM,Google_VN,120.88,76.02,55.29,623.08,262.42,94.64,0.0,10,0,POOR
Mobile_10AM,Google_VN,87.32,84.23,55.94,209.38,114.45,25.35,0.0,10,0,ACCEPTABLE
Mobile_10AM,Google_VN,161.3,123.59,56.07,592.91,414.61,98.53,0.0,10,0,POOR
Mobile_10AM,Google_VN,248.46,182.44,66.97,870.52,560.83,166.04,0.0,10,0,POOR
Mobile_10AM,Google_VN,306.23,213.58,55.36,899.93,784.2,218.62,3.33,10,0,POOR
Mobile_10AM,Google_VN,299.35,242.34,75.28,1057.51,768.05,115.23,0.0,10,0,POOR
Mobile_10AM,Google_VN,254.6,183.75,52.73,756.01,559.59,174.14,0.0,10,0,POOR
Mobile_10AM,Google_VN,254.71,181.21,76.02,865.83,688.55,136.28,0.0,10,0,POOR
Mobile_10AM,Google_VN,201.67,182.89,48.43,721.3,431.48,157.56,0.0,10,0,POOR
Mobile_10AM,Google_VN,271.51,267.63,60.36,494.3,473.44,150.77,0.0,10,0,POOR
Mobile_10AM,Google_VN,214.17,191.56,52.21,537.58,464.84,157.0,0.0,10,0,POOR
Mobile_10AM,Google_VN,258.87,184.78,70.47,1075.65,640.38,172.7,0.0,10,0,POOR
Mobile_10AM,Google_VN,353.86,305.59,56.46,1086.47,949.78,296.68,0.0,10,0,POOR
Mobile_10AM,Google_VN,323.4,262.41,86.18,914.66,714.73,169.22,3.33,10,0,POOR
Mobile_10AM,Google_VN,272.79,201.12,85.54,794.3,507.53,188.59,0.0,10,0,POOR
Mobile_10AM,Google_VN,254.91,178.46,70.25,902.96,589.53,138.76,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,496.8,429.03,84.44,1506.92,1092.87,399.88,10.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,138.79,111.21,72.31,402.02,301.61,60.93,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,103.64,100.05,68.67,202.33,139.17,30.7,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,151.78,120.97,62.57,480.68,346.99,62.71,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,243.14,202.28,95.83,666.93,505.42,122.38,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,378.66,315.69,93.31,1108.76,922.36,199.61,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,336.44,261.79,70.81,955.7,859.72,195.1,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,290.52,225.48,71.65,752.14,696.06,258.13,3.33,10,0,POOR
Mobile_10AM,OpenDNS_Global,290.77,228.62,78.57,754.48,630.37,139.02,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,261.44,236.03,58.81,691.51,580.74,142.55,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,243.96,219.62,62.4,600.6,484.7,179.33,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,213.7,206.25,62.73,532.1,456.57,131.99,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,334.66,285.52,82.07,757.38,698.04,171.22,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,351.05,272.52,60.94,1015.04,941.1,271.94,3.33,10,0,POOR
Mobile_10AM,OpenDNS_Global,353.4,248.55,87.42,1715.44,1014.83,317.73,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,303.18,282.24,68.23,797.24,650.55,203.71,0.0,10,0,POOR
Mobile_10AM,OpenDNS_Global,304.67,238.03,91.3,1134.57,871.47,124.4,0.0,10,0,POOR
Mobile_2PM,Cloudflare_VN,48.0,49.57,32.19,70.94,63.92,15.2,0.0,14,0,ACCEPTABLE
Mobile_2PM,Cloudflare_VN,46.7,45.08,31.42,66.36,64.79,11.89,3.33,14,0,POOR
Mobile_2PM,Cloudflare_VN,49.69,47.58,33.62,113.23,66.3,18.08,0.0,14,0,ACCEPTABLE
Mobile_2PM,Cloudflare_VN,49.84,52.07,31.8,63.57,61.69,11.84,0.0,14,0,GOOD
Mobile_2PM,Cloudflare_VN,47.67,49.3,32.53,62.13,61.64,8.27,0.0,14,0,GOOD
Mobile_2PM,Cloudflare_VN,51.75,50.94,32.61,153.17,65.37,20.8,0.0,14,0,ACCEPTABLE
Mobile_2PM,Cloudflare_VN,49.15,52.06,32.41,67.05,62.52,12.48,0.0,14,0,ACCEPTABLE
Mobile_2PM,Cloudflare_VN,53.06,46.68,33.34,196.48,100.05,21.84,3.33,14,0,POOR
Mobile_2PM,Cloudflare_VN,53.64,50.0,33.51,142.16,95.08,21.08,0.0,14,0,ACCEPTABLE
Mobile_2PM,Cloudflare_VN,51.92,51.58,32.86,127.46,64.3,14.11,0.0,14,0,ACCEPTABLE
Mobile_2PM,Cloudflare_VN,48.0,49.81,32.89,62.44,61.24,11.42,0.0,14,0,GOOD
Mobile_2PM,Google_VN,51.81,50.36,32.45,175.54,69.05,19.01,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,52.06,49.39,32.41,137.8,61.38,19.53,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,49.48,53.02,32.16,61.16,60.58,9.02,0.0,14,0,GOOD
Mobile_2PM,Google_VN,50.41,49.39,34.22,71.03,67.39,11.06,3.33,14,0,POOR
Mobile_2PM,Google_VN,52.17,53.17,32.72,113.57,77.91,18.78,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,51.99,52.08,33.79,121.11,60.74,15.14,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,49.3,51.48,34.03,60.95,60.47,9.75,0.0,14,0,GOOD
Mobile_2PM,Google_VN,54.06,41.14,33.32,197.51,111.16,28.08,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,54.18,49.96,34.0,188.37,70.59,19.9,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,48.15,50.95,33.59,62.38,61.88,12.47,0.0,14,0,ACCEPTABLE
Mobile_2PM,Google_VN,49.82,52.83,33.04,61.17,59.85,10.81,0.0,14,0,GOOD
Mobile_2PM,OpenDNS_Global,80.27,73.94,63.41,210.43,96.6,20.63,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,79.38,79.37,64.45,139.7,91.37,14.7,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,79.42,79.59,63.53,123.98,95.28,12.46,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,80.61,83.81,63.8,96.45,92.77,11.58,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,86.12,82.87,64.2,226.56,122.51,25.71,3.33,14,0,POOR
Mobile_2PM,OpenDNS_Global,82.84,82.72,64.1,165.57,89.19,15.36,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,79.96,81.34,63.35,100.97,98.34,12.53,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,94.4,80.81,62.82,411.08,186.9,46.49,0.0,14,0,POOR
Mobile_2PM,OpenDNS_Global,86.7,86.92,63.47,164.3,122.83,19.07,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,78.02,76.67,64.35,94.04,92.12,11.01,0.0,14,0,ACCEPTABLE
Mobile_2PM,OpenDNS_Global,77.54,78.17,63.32,101.63,92.54,14.99,0.0,14,0,ACCEPTABLE
Mobile_7AM,Cloudflare_VN,97.44,31.05,27.2,485.81,451.46,56.01,0.0,7,0,POOR
Mobile_7AM,Cloudflare_VN,36.0,30.96,26.48,87.75,80.5,10.63,0.0,7,0,GOOD
